"sp_name","Importance"
"Coryphopterus_glaucofraenum",NA
"Coryphopterus_hyalinus",NA
"Coryphopterus_lipernes",NA
"Coryphopterus_personatus",NA
"Coryphopterus_thrix",NA
"Coryphopterus_tortugae",NA
"Coryphopterus_urospilus",NA
"Cratinus_agassizii","commercial"
"Cremnochorites_capensis",NA
"Crenimugil_crenilabis","minor commercial"
"Cristiceps_aurantiacus",NA
"Crocodilichthys_gracilis",NA
"Cromileptes_altivelis","commercial"
"Crossosalarias_macrospilus",NA
"Cryptichthys_jojettae","of no interest"
"Cryptocentrus_caeruleomaculatus",NA
"Cryptocentrus_caeruleopunctatus",NA
"Cryptocentrus_cryptocentrus",NA
"Cryptocentrus_fasciatus",NA
"Cryptocentrus_strigilliceps",NA
"Ctenochaetus_binotatus",NA
"Ctenochaetus_cyanocheilus",NA
"Ctenochaetus_flavicauda",NA
"Ctenochaetus_hawaiiensis",NA
"Ctenochaetus_marginatus",NA
"Ctenochaetus_striatus","commercial"
"Ctenochaetus_tominiensis",NA
"Ctenochaetus_truncatus",NA
"Ctenogobiops_aurocingulus",NA
"Ctenogobiops_crocineus",NA
"Ctenogobiops_feroculus",NA
"Ctenogobiops_maculosus",NA
"Ctenogobiops_mitodes",NA
"Ctenogobiops_pomastictus",NA
"Ctenogobiops_tangaroai",NA
"Ctenolabrus_rupestris","subsistence fisheries"
"Cybiosarda_elegans","minor commercial"
"Cyclichthys_orbicularis","subsistence fisheries"
"Cymatoceps_nasutus","commercial"
"Cymatogaster_aggregata","minor commercial"
"Cymbacephalus_beauforti","subsistence fisheries"
"Cypho_purpurascens",NA
"Cypho_zaps",NA
"Cyprinocirrhites_polyactis",NA
"Dactylophora_nigricans","minor commercial"
"Dactylopus_dactylopus","of no interest"
"Daector_reticulata",NA
"Daector_schmitti",NA
"Dascyllus_albisella",NA
"Dascyllus_aruanus","of no interest"
"Dascyllus_carneus","of no interest"
"Dascyllus_flavicaudus",NA
"Dascyllus_marginatus",NA
"Dascyllus_melanurus",NA
"Dascyllus_reticulatus","minor commercial"
"Dascyllus_strasburgi",NA
"Dascyllus_trimaculatus","minor commercial"
"Decapterus_koheru","minor commercial"
"Decapterus_macarellus","commercial"
"Decapterus_muroadsi","commercial"
"Decapterus_punctatus","minor commercial"
"Dellichthys_morelandi",NA
"Dendrochirus_barberi",NA
"Dendrochirus_zebra","minor commercial"
"Dentex_dentex","commercial"
"Dermatolepis_dermatolepis","minor commercial"
"Diademichthys_lineatus",NA
"Diagramma_labiosum",NA
"Diagramma_melanacrum",NA
"Dialommus_fuscus","of no interest"
"Dicentrarchus_labrax","commercial"
"Dicentrarchus_punctatus","minor commercial"
"Dichistius_capensis","commercial"
"Dicotylichthys_punctulatus","of no interest"
"Didogobius_amicuscaridis",NA
"Dinolestes_lewini",NA
"Diodon_holocanthus","minor commercial"
"Diodon_hystrix","minor commercial"
"Diodon_liturosus","minor commercial"
"Diodon_nicthemerus","of no interest"
"Diplodus_annularis","commercial"
"Diplodus_argenteus","minor commercial"
"Diplodus_capensis","minor commercial"
"Diplodus_cervinus","minor commercial"
"Diplodus_puntazzo","commercial"
"Diplodus_sargus","minor commercial"
"Diplodus_vulgaris","commercial"
"Diplogrammus_goramensis",NA
"Diplogrammus_xenicus",NA
"Diploprion_bifasciatum",NA
"Diproctacanthus_xanthurus",NA
"Dipterygonotus_balteatus","minor commercial"
"Dischistodus_chrysopoecilus",NA
"Dischistodus_darwiniensis",NA
"Dischistodus_melanotus",NA
"Dischistodus_perspicillatus","minor commercial"
"Dischistodus_prosopotaenia",NA
"Dischistodus_pseudochrysopoecilus",NA
"Doratonotus_megalepis",NA
"Dotalabrus_alleni",NA
"Dotalabrus_aurantiacus",NA
"Dules_auriga","of no interest"
"Echeneis_naucrates","minor commercial"
"Echeneis_neucratoides","commercial"
"Echidna_nebulosa","minor commercial"
"Echidna_nocturna",NA
